,CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location,lat,lng
0,ROBBERY,04/23/2020 01:27:00 AM,20-020530,ROBBERY-FIREARM,31Y,900 82ND AV,Oakland,CA,"900 82ND AV
Oakland, CA",37.7522776,-122.1851369
1,DOMESTIC VIOLENCE,04/03/2020 05:51:00 PM,20-017584,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,9200 MACARTHUR BLVD,Oakland,CA,"9200 MACARTHUR BLVD
Oakland, CA
(37.754275, -122.160817)",37.7545295,-122.1606751
2,,04/25/2020 10:30:00 PM,20-021213,EXHIBIT FIREARM,29X,5500 15TH ST,Oakland,CA,"5500 15TH ST
Oakland, CA",37.7682346,-122.2020832
3,OTHER,09/01/2019 12:00:00 AM,20-009365,STALKING-MISD,01X,00 EMBARCADERO WEST,Oakland,CA,"00 EMBARCADERO WEST
Oakland, CA",37.79481180000001,-122.2749578
4,,05/03/2020 01:40:00 AM,20-022472,THEFT,21X,2300 FOOTHILL BLVD,Oakland,CA,"2300 FOOTHILL BLVD
Oakland, CA
(37.785082, -122.233852)",37.7852402,-122.2337694
5,VANDALISM,02/04/2020 07:40:00 PM,20-905431,VANDALISM,77X,HOWE ST,Oakland,CA,"HOWE ST
Oakland, CA",37.8283263,-122.2515117
6,OTHER,04/22/2020 03:14:00 PM,20-020455,REFUSE/ETC TO COMPLY WITH QUARANTINE/DISINFECTION ORDER/ETC,13Z,2500 SCOUT RD,Oakland,CA,"2500 SCOUT RD
Oakland, CA
(37.821925, -122.202153)",37.8199276,-122.2001218
7,HOMICIDE,04/15/2020 07:07:00 PM,20-019412,SC UNEXPLAINED DEATH,26X,1200 47TH AV,Oakland,CA,"1200 47TH AV
Oakland, CA
(37.769777, -122.21213)",37.7693705,-122.2126902
8,,04/27/2020 11:19:00 AM,20-021226,THEFT,23X,3200 INTERNATIONAL BLVD,Oakland,CA,"3200 INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)",37.7777222,-122.2255912
9,ARSON,02/10/2020 11:00:00 PM,20-012566,SC RECKLESS BURNING,05X,800 16TH ST,Oakland,CA,"800 16TH ST
Oakland, CA
(37.80899, -122.278793)",37.8089447,-122.2786474
10,,04/29/2020 09:00:00 PM,20-021673,BATTERY,28X,5400 ROBERTS AV,Oakland,CA,"5400 ROBERTS AV
Oakland, CA
(37.777505, -122.191653)",37.777497,-122.1916046
11,,04/25/2020 12:35:00 PM,20-909698,THEFT,14X,400 LEE ST,Oakland,CA,"400 LEE ST
Oakland, CA
(37.810895, -122.256359)",37.8107361,-122.25616
12,VANDALISM,02/04/2020 09:24:00 PM,20-905430,VANDALISM,77X,21ST ST,Oakland,CA,"21ST ST
Oakland, CA",37.811713,-122.2755029
13,BURG - AUTO,04/15/2020 10:30:00 PM,20-908676,THEFT,35X,8200 NEY AV,Oakland,CA,"8200 NEY AV
Oakland, CA
(37.763381, -122.163549)",37.7633779,-122.1635886
14,BURG - RESIDENTIAL,04/03/2020 01:00:00 AM,20-908010,BURGLARY-FORCIBLE ENTRY,77X,48TH ST,Oakland,CA,"48TH ST
Oakland, CA",37.8353476,-122.2648118
15,BURG - AUTO,04/08/2020 08:40:00 PM,20-909322,BURGLARY-AUTO,08X,2200 TELEGRAPH AV,Oakland,CA,"2200 TELEGRAPH AV
Oakland, CA
(37.811582, -122.269056)",37.811502,-122.2687119
16,BURG - AUTO,02/14/2020 11:00:00 PM,20-905783,BURGLARY-AUTO,99X,2600 28TH,Oakland,CA,"2600 28TH
Oakland, CA",37.79395239999999,-122.2223537
17,MISDEMEANOR ASSAULT,02/14/2020 08:45:00 AM,20-011201,BATTERY,07X,2800 HELEN ST,Oakland,CA,"2800 HELEN ST
Oakland, CA
(37.822321, -122.285196)",37.8222751,-122.2852673
18,CURFEW & LOITERING,04/17/2020 03:18:00 PM,20-019905,TRESPASSING,27X,5100 FAIRFAX AV,Oakland,CA,"5100 FAIRFAX AV
Oakland, CA
(37.775336, -122.200795)",37.7751987,-122.2005046
19,DOMESTIC VIOLENCE,05/15/2020 12:00:00 AM,20-024166,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,7100 WELD ST,Oakland,CA,"7100 WELD ST
Oakland, CA
(37.763861, -122.183234)",37.7639532,-122.1829862
20,MISDEMEANOR ASSAULT,04/03/2020 01:08:00 AM,20-017479,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,24X,2000 HARRINGTON AV,Oakland,CA,"2000 HARRINGTON AV
Oakland, CA
(37.781425, -122.215733)",37.7812459,-122.2155958
21,DUI,04/11/2020 11:19:00 PM,20-018797,DUI ALCOHOL/DRUGS,20X,1600 25TH AV,Oakland,CA,"1600 25TH AV
Oakland, CA
(37.783804, -122.231457)",37.78351139999999,-122.2317492
22,HOMICIDE,03/28/2020 07:04:00 PM,20-016616,ATTEMPTED MURDER-FIREARM,21Y,3300 NICOL AV,Oakland,CA,"3300 NICOL AV
Oakland, CA
(37.791078, -122.211009)",37.7910587,-122.2109819
23,,04/10/2020 08:00:00 PM,20-018728,VEHICLE THEFT - AUTO,25Y,4100 MAYNARD AV,Oakland,CA,"4100 MAYNARD AV
Oakland, CA
(37.772882, -122.156527)",37.7728715,-122.1565142
24,HOMICIDE,03/26/2020 10:04:00 AM,19-062954,BURGLARY-FORCIBLE ENTRY,26Y,900 69TH AV,Oakland,CA,"900 69TH AV
Oakland, CA
(37.756802, -122.196345)",37.7566464,-122.1961332
25,NARCOTICS,04/11/2020 07:47:00 PM,20-018775,PROBATION REVOKED/ETC,06X,600 39TH ST,Oakland,CA,"600 39TH ST
Oakland, CA
(37.828986, -122.268281)",37.8289694,-122.2681392
26,,04/11/2020 05:00:00 PM,20-018753,VEHICLE THEFT - AUTO,12X,4900 BROADWAY,Oakland,CA,"4900 BROADWAY
Oakland, CA
(37.833535, -122.252873)",37.8335019,-122.2526048
27,FELONY ASSAULT,04/22/2020 12:50:00 AM,20-020363,ASSAULT WITH FIREARM ON PERSON,04X,19TH ST & SAN PABLO AV,Oakland,CA,"19TH ST & SAN PABLO AV
Oakland, CA
(37.808797, -122.272637)",0.0,0.0
28,,05/14/2020 06:00:00 PM,20-024133,INDECENT EXPOSURE,27X,5100 TRASK ST,Oakland,CA,"5100 TRASK ST
Oakland, CA
(37.776722, -122.200524)",37.7766808,-122.2003021
