CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ROBBERY,04/23/2020 01:27:00 AM,20-020530,ROBBERY-FIREARM,31Y,900 82ND AV,Oakland,CA,"900 82ND AV
Oakland, CA"
DOMESTIC VIOLENCE,04/03/2020 05:51:00 PM,20-017584,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,9200 MACARTHUR BLVD,Oakland,CA,"9200 MACARTHUR BLVD
Oakland, CA
(37.754275, -122.160817)"
,04/25/2020 10:30:00 PM,20-021213,EXHIBIT FIREARM,29X,5500 15TH ST,Oakland,CA,"5500 15TH ST
Oakland, CA"
OTHER,09/01/2019 12:00:00 AM,20-009365,STALKING-MISD,01X,00 EMBARCADERO WEST,Oakland,CA,"00 EMBARCADERO WEST
Oakland, CA"
,05/03/2020 01:40:00 AM,20-022472,THEFT,21X,2300 FOOTHILL BLVD,Oakland,CA,"2300 FOOTHILL BLVD
Oakland, CA
(37.785082, -122.233852)"
VANDALISM,02/04/2020 07:40:00 PM,20-905431,VANDALISM,77X,HOWE ST,Oakland,CA,"HOWE ST
Oakland, CA"
OTHER,04/22/2020 03:14:00 PM,20-020455,REFUSE/ETC TO COMPLY WITH QUARANTINE/DISINFECTION ORDER/ETC,13Z,2500 SCOUT RD,Oakland,CA,"2500 SCOUT RD
Oakland, CA
(37.821925, -122.202153)"
HOMICIDE,04/15/2020 07:07:00 PM,20-019412,SC UNEXPLAINED DEATH,26X,1200 47TH AV,Oakland,CA,"1200 47TH AV
Oakland, CA
(37.769777, -122.21213)"
,04/27/2020 11:19:00 AM,20-021226,THEFT,23X,3200 INTERNATIONAL BLVD,Oakland,CA,"3200 INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)"
ARSON,02/10/2020 11:00:00 PM,20-012566,SC RECKLESS BURNING,05X,800 16TH ST,Oakland,CA,"800 16TH ST
Oakland, CA
(37.80899, -122.278793)"
,04/29/2020 09:00:00 PM,20-021673,BATTERY,28X,5400 ROBERTS AV,Oakland,CA,"5400 ROBERTS AV
Oakland, CA
(37.777505, -122.191653)"
,04/25/2020 12:35:00 PM,20-909698,THEFT,14X,400 LEE ST,Oakland,CA,"400 LEE ST
Oakland, CA
(37.810895, -122.256359)"
VANDALISM,02/04/2020 09:24:00 PM,20-905430,VANDALISM,77X,21ST ST,Oakland,CA,"21ST ST
Oakland, CA"
BURG - AUTO,04/15/2020 10:30:00 PM,20-908676,THEFT,35X,8200 NEY AV,Oakland,CA,"8200 NEY AV
Oakland, CA
(37.763381, -122.163549)"
BURG - RESIDENTIAL,04/03/2020 01:00:00 AM,20-908010,BURGLARY-FORCIBLE ENTRY,77X,48TH ST,Oakland,CA,"48TH ST
Oakland, CA"
BURG - AUTO,04/08/2020 08:40:00 PM,20-909322,BURGLARY-AUTO,08X,2200 TELEGRAPH AV,Oakland,CA,"2200 TELEGRAPH AV
Oakland, CA
(37.811582, -122.269056)"
BURG - AUTO,02/14/2020 11:00:00 PM,20-905783,BURGLARY-AUTO,99X,2600 28TH,Oakland,CA,"2600 28TH
Oakland, CA"
MISDEMEANOR ASSAULT,02/14/2020 08:45:00 AM,20-011201,BATTERY,07X,2800 HELEN ST,Oakland,CA,"2800 HELEN ST
Oakland, CA
(37.822321, -122.285196)"
CURFEW & LOITERING,04/17/2020 03:18:00 PM,20-019905,TRESPASSING,27X,5100 FAIRFAX AV,Oakland,CA,"5100 FAIRFAX AV
Oakland, CA
(37.775336, -122.200795)"
DOMESTIC VIOLENCE,05/15/2020 12:00:00 AM,20-024166,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,7100 WELD ST,Oakland,CA,"7100 WELD ST
Oakland, CA
(37.763861, -122.183234)"
MISDEMEANOR ASSAULT,04/03/2020 01:08:00 AM,20-017479,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,24X,2000 HARRINGTON AV,Oakland,CA,"2000 HARRINGTON AV
Oakland, CA
(37.781425, -122.215733)"
DUI,04/11/2020 11:19:00 PM,20-018797,DUI ALCOHOL/DRUGS,20X,1600 25TH AV,Oakland,CA,"1600 25TH AV
Oakland, CA
(37.783804, -122.231457)"
