,Category,X,Y
21,ASSAULT,-122.42485988902868,37.78619644725339
1838946,LARCENY/THEFT,-122.4076335207421,37.78418935014246
1870259,SUSPICIOUS OCC,-122.41243690186674,37.78348574556014
1871098,ASSAULT,-122.40340479147905,37.775420706711
1871480,SUSPICIOUS OCC,-122.44101810888789,37.71645868308113
1871522,MISSING PERSON,-122.39288914579753,37.79353859583562
1871946,LARCENY/THEFT,-122.432951589917,37.805052022888134
1871947,LARCENY/THEFT,-122.43679774227759,37.80080317310889
1871952,BURGLARY,-122.4660936259942,37.71118844881858
1871957,LARCENY/THEFT,-122.41623585237942,37.784912573847635
1871958,LARCENY/THEFT,-122.43197957638638,37.78004785299228
1871961,OTHER OFFENSES,-122.42355991560957,37.775795803337004
1871966,BURGLARY,-122.42285771955805,37.805444041394416
1871974,MISSING PERSON,-122.48649699814912,37.78200343751895
1871986,ASSAULT,-122.40284168086669,37.745036433313714
1871991,ASSAULT,-122.45224265736972,37.771228676186944
1871992,ASSAULT,-122.45591022256659,37.75600300631986
1872006,LARCENY/THEFT,-122.4051782208468,37.80476375718003
1872017,BURGLARY,-122.45003873694368,37.73300854176335
1872021,LARCENY/THEFT,-122.45459408048849,37.766165556157205
1872023,DRUG/NARCOTIC,-122.41753069697998,37.78331075399689
1872030,NON-CRIMINAL,-122.39738878482612,37.78255434524264
1872033,ROBBERY,-122.41921219863598,37.76102441670228
1872044,ASSAULT,-122.43000934816307,37.72457766671811
1872045,BURGLARY,-122.4291378224158,37.72513528069154
1872052,TRESPASS,-122.41950819752148,37.788856542138255
1872063,ASSAULT,-122.45591022256659,37.75600300631986
1872069,ASSAULT,-122.51129379859596,37.77507332633101
1872074,OTHER OFFENSES,-122.42596311156973,37.72864127516607
1872076,NON-CRIMINAL,-122.43778516041256,37.787480960849926
1872079,VANDALISM,-122.42619218027515,37.72160840860921
1872089,LARCENY/THEFT,-122.42018347354141,37.7569031444241
1872091,SECONDARY CODES,-122.46007934848728,37.72480135641886
1872106,LARCENY/THEFT,-122.43686793261705,37.72204864553172
1872112,LARCENY/THEFT,-122.41033761357582,37.80651287685515
1872115,WARRANTS,-122.41950819752148,37.788856542138255
1872123,OTHER OFFENSES,-122.41093920555171,37.779212259008546
1872124,WARRANTS,-122.44264969637385,37.79899924700105
1872129,NON-CRIMINAL,-122.37997418211405,37.731077440872866
1872132,ASSAULT,-122.42019129511986,37.783870392089746
1872137,LARCENY/THEFT,-122.48259196552256,37.780188144322146
1872138,NON-CRIMINAL,-122.41784155094611,37.78895368723172
1872140,LARCENY/THEFT,-122.41054116698672,37.77091305661651
1872141,LARCENY/THEFT,-122.41965738035192,37.70909492413904
